R0000100,T0897400,T0897500,T2053900,T2054000,T3024800,T3024900,T3955100,T3955200,T4892800,T4892900
3052,-5,-5,5,9,5,9,-1,-1,5,9
3053,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3054,5,0,5,2,5,0,5,0,5,0
3055,6,3,6,3,6,3,6,3,6,2
3056,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3057,5,3,5,4,5,4,5,4,5,4
3058,5,6,5,6,5,6,5,6,5,6
3059,6,2,6,0,6,0,5,11,5,10
3060,6,1,6,1,6,1,6,1,6,1
3061,5,8,5,8,5,8,5,8,5,8
3062,6,1,6,1,6,1,6,1,6,1
3063,6,2,6,2,6,2,6,2,6,2
3064,5,4,5,4,5,4,5,3,5,4
3065,5,9,5,8,5,9,-5,-5,-5,-5
3066,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3067,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3068,-5,-5,-5,-5,5,2,5,2,5,2
3069,5,5,5,6,5,5,5,5,5,5
3070,-5,-5,-5,-5,5,9,-5,-5,5,9
3071,6,2,6,1,6,1,6,2,-5,-5
3072,5,7,5,7,5,7,5,7,-1,-1
3073,5,8,5,8,5,8,5,7,5,8
3074,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3075,5,2,5,2,5,3,5,2,5,2
3076,5,4,5,3,5,5,5,4,5,4
3077,6,2,6,2,6,2,6,2,6,2
3078,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3079,5,5,5,5,5,5,5,5,-5,-5
3080,5,3,5,4,5,3,5,4,-5,-5
3081,5,3,5,3,5,3,5,2,5,3
3082,5,8,5,8,5,8,5,8,5,8
3083,-5,-5,-5,-5,-5,-5,6,2,6,2
3084,5,10,5,10,-4,-4,5,10,5,11
3085,5,4,5,4,5,4,5,4,5,4
3086,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3087,-5,-5,6,0,6,0,-5,-5,-5,-5
3088,-5,-5,5,7,5,7,5,7,5,7
3089,6,0,6,0,6,0,6,0,6,0
3090,5,4,5,4,5,4,5,5,5,4
3091,5,4,5,4,5,4,5,4,5,4
3092,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3093,5,2,5,2,5,3,5,2,5,2
3094,5,4,5,3,5,3,5,4,-5,-5
3095,5,7,5,7,5,7,5,7,5,7
3096,5,3,5,3,5,3,5,3,5,3
3097,5,10,5,10,5,10,5,10,5,10
3098,5,11,6,0,5,11,6,0,6,0
3099,5,-4,5,8,5,8,5,8,5,8
3100,6,5,6,5,6,5,6,5,6,5
3101,5,9,5,9,5,9,-5,-5,-5,-5
