R0000100,T0897400,T0897500,T2053900,T2054000,T3024800,T3024900,T3955100,T3955200,T4892800,T4892900
7580,-5,-5,5,7,5,6,-5,-5,-5,-5
7581,5,9,5,10,5,9,5,9,5,9
7582,5,11,5,11,5,10,5,10,5,10
7583,5,3,5,3,5,2,5,3,5,3
7584,5,8,5,9,-4,8,5,8,5,9
7585,5,4,5,3,5,4,5,4,5,4
7586,5,2,5,2,-5,-5,5,2,-5,-5
7587,5,5,5,5,5,5,5,5,5,5
7588,5,9,5,9,5,9,5,9,-5,-5
7589,5,5,5,5,5,5,5,5,5,5
7590,5,8,5,8,5,8,5,8,5,8
7591,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7592,5,6,5,6,5,6,5,6,5,6
7593,5,9,5,9,5,9,5,9,-5,-5
7594,5,8,5,8,5,8,5,7,5,8
7595,5,2,5,2,5,2,5,2,5,2
7596,-5,-5,-5,-5,5,11,-5,-5,-5,-5
7597,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7598,5,5,5,1,5,5,5,5,5,6
7599,5,6,5,5,5,6,5,6,5,6
7600,5,3,5,2,5,2,5,2,5,2
7601,5,7,5,7,5,7,5,7,5,7
7602,5,8,5,7,5,8,5,7,5,7
7603,5,2,5,2,5,2,5,2,5,2
7604,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7605,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7606,5,7,5,6,5,6,5,7,5,7
7607,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7608,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7609,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7610,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7611,5,6,5,6,5,5,5,6,5,6
7612,5,0,-2,-2,-2,-2,-2,-2,-2,-2
7613,-5,-5,-5,-5,-5,-5,-5,-5,6,2
7614,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7615,5,4,5,4,5,4,5,4,5,4
7616,5,3,5,3,5,3,5,3,5,3
7617,5,8,5,8,-5,-5,-5,-5,-5,-5
7618,5,6,5,6,5,6,5,6,5,6
7619,5,2,5,2,5,2,-5,-5,-5,-5
7620,5,8,5,8,5,8,5,8,5,8
7621,5,10,5,9,5,9,5,9,5,9
7622,5,5,5,5,5,5,5,5,5,5
7623,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7624,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7625,5,6,5,6,5,7,5,6,5,8
7626,5,3,5,3,5,3,5,3,5,3
7627,6,1,6,2,6,2,6,2,6,2
7628,5,11,5,10,5,11,5,11,5,11
7629,5,9,5,9,5,9,5,9,5,9
7630,5,6,5,6,5,6,5,6,5,6
7631,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7632,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7633,6,2,6,1,6,1,6,1,6,0
7634,5,9,-5,-5,5,9,5,9,-5,-5
7635,5,7,5,10,-5,-5,-5,-5,-5,-5
7636,5,2,5,2,5,2,-1,-1,5,2
7637,-5,-5,6,1,-5,-5,-5,-5,-5,-5
7638,-5,-5,-5,-5,-5,-5,6,3,-5,-5
7639,6,3,6,3,6,3,6,3,6,3
7640,6,3,-5,-5,-5,-5,6,3,6,3
7641,-5,-5,-5,-5,-5,-5,5,11,5,11
7642,5,6,-5,-5,5,6,5,6,5,6
7643,6,0,-5,-5,-5,-5,-5,-5,5,11
7644,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7645,5,7,5,7,5,7,5,4,5,4
7646,-5,-5,5,2,5,1,5,1,5,2
7647,5,8,5,8,5,8,5,8,5,8
7648,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7649,5,4,5,4,5,4,5,5,5,4
7650,6,2,6,2,6,3,6,3,6,3
7651,5,2,5,2,5,1,-5,-5,-5,-5
7652,5,6,5,6,5,6,5,6,5,5
7653,5,8,5,8,5,8,5,8,5,8
7654,6,6,6,6,6,6,6,7,6,6
7655,5,5,5,5,5,5,5,5,5,4
7656,5,6,5,7,5,7,5,6,5,4
7657,5,4,5,4,5,4,5,4,5,4
7658,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7659,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7660,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7661,5,9,5,9,5,9,5,9,5,9
7662,4,11,4,11,5,0,4,11,4,11
7663,5,2,5,2,5,2,5,2,5,5
7664,5,11,5,11,5,11,5,11,-5,-5
7665,5,2,5,1,5,2,5,2,5,2
7666,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7667,5,11,5,11,5,11,5,11,5,11
7668,5,8,5,9,5,9,5,8,5,8
7669,5,1,5,2,5,2,5,1,5,5
7670,5,1,5,2,5,1,5,1,5,2
7671,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7672,5,4,5,3,5,4,5,4,5,4
7673,5,1,5,9,5,0,5,1,5,0
7674,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7675,5,8,5,8,5,8,5,8,5,8
7676,6,0,6,0,6,0,6,0,6,0
7677,6,3,6,3,6,3,6,3,6,3
7678,-5,-5,-5,-5,-5,-5,-5,-5,5,3
7679,5,8,5,8,5,8,5,8,5,7
7680,5,8,-5,-5,-5,-5,-5,-5,-5,-5
7681,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7682,5,5,5,6,5,6,5,6,5,6
7683,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7684,5,4,5,3,5,3,5,3,-5,-5
7685,5,3,5,3,5,3,5,3,5,3
7686,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7687,5,5,5,5,5,5,5,5,5,5
7688,5,10,5,10,5,11,5,11,5,10
7689,5,8,5,8,5,8,5,8,5,8
7690,6,5,6,5,6,5,6,5,6,5
7691,5,8,5,8,5,8,5,8,5,8
7692,5,5,5,5,5,5,5,5,5,5
7693,5,5,5,6,5,5,-5,-5,-5,-5
7694,-5,-5,5,2,-5,-5,5,3,-5,-5
7695,5,8,5,8,5,7,5,7,5,7
7696,5,9,5,9,5,9,5,8,5,8
7697,5,11,5,11,5,11,5,11,5,10
7698,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7699,6,2,6,1,6,2,6,1,6,2
7700,6,2,5,10,6,2,6,2,-5,-5
7701,5,11,5,11,5,11,5,11,5,11
7702,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7703,5,7,5,7,5,7,5,8,5,7
7704,5,1,4,11,4,11,4,11,4,11
7705,5,8,5,8,5,8,5,8,5,8
7706,5,7,5,6,5,6,-5,-5,-5,-5
7707,6,0,6,0,6,0,6,0,6,0
7708,5,3,5,3,5,3,-5,-5,5,3
7709,5,10,5,11,5,10,5,10,5,10
7710,5,2,5,2,5,2,5,2,5,2
7711,5,6,5,6,5,6,5,6,5,6
7712,5,11,5,11,5,11,5,11,5,11
7713,-5,-5,-5,-5,-5,-5,5,2,-5,-5
7714,6,1,-5,-5,6,1,6,1,6,1
7715,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7716,5,7,5,7,5,8,5,7,5,7
7717,5,9,5,10,5,9,5,9,5,10
7718,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7719,5,10,5,10,-5,-5,-5,-5,-5,-5
7720,5,10,5,10,5,10,5,10,5,10
7721,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7722,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7723,5,10,-5,-5,5,9,-5,-5,5,10
7724,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7725,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7726,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7727,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7728,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7729,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7730,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7731,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7732,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7733,5,8,5,8,5,8,5,9,5,8
7734,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7735,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7736,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7737,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7738,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7739,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7740,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7741,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7742,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7743,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7744,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7745,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7746,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7747,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7748,5,3,5,8,5,11,5,10,-2,-2
7749,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7750,5,0,5,0,5,0,5,0,-5,-5
7751,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7752,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7753,5,10,5,11,5,10,5,10,5,10
7754,5,3,5,3,5,3,5,4,5,4
7755,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7756,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7757,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7758,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7759,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7760,-5,-5,5,8,5,8,5,8,-5,-5
7761,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7762,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7763,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7764,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7765,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7766,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7767,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7768,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7769,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7770,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7771,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7772,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7773,5,3,5,4,5,4,5,4,5,4
7774,5,0,5,0,5,0,-5,-5,-5,-5
7775,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7776,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7777,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7778,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7779,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7780,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7781,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7782,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7783,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7784,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7785,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7786,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7787,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7788,5,2,-5,-5,5,2,5,2,5,2
7789,5,4,5,4,5,4,5,4,5,4
7790,5,11,5,11,5,11,5,11,5,11
7791,5,0,5,0,5,0,5,1,5,0
7792,5,11,5,11,5,11,5,10,5,10
7793,6,1,6,1,6,1,6,1,6,1
7794,5,0,5,0,5,0,5,0,5,0
7795,5,6,5,6,5,5,5,6,5,6
7796,5,2,5,2,5,1,5,1,5,2
7797,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7798,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7799,5,11,-5,-5,6,0,6,0,5,11
7800,-5,-5,-5,-5,-5,-5,5,10,-5,-5
7801,5,8,5,8,5,8,5,8,5,8
7802,5,2,5,1,5,2,5,1,-5,-5
7803,6,0,5,9,5,9,5,9,5,9
7804,5,3,5,3,-5,-5,5,3,5,3
7805,5,10,5,10,5,10,5,10,5,10
7806,5,3,5,4,5,5,5,4,5,4
7807,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7808,5,1,5,5,5,0,5,0,5,4
7809,5,4,5,4,5,4,5,5,5,4
7810,5,5,5,5,-5,-5,-5,-5,-5,-5
7811,5,11,5,11,5,11,5,11,5,11
7812,-5,-5,-5,-5,5,4,5,4,5,4
7813,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7814,5,1,5,1,5,1,5,1,5,4
7815,4,11,4,11,4,11,4,11,4,11
7816,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7817,6,3,6,3,6,2,6,2,6,2
7818,5,2,5,4,5,5,5,2,-5,-5
7819,5,1,5,1,5,1,5,1,5,1
7820,5,4,5,4,5,5,5,5,5,4
7821,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7822,5,0,5,1,5,2,-5,-5,-5,-5
7823,5,5,5,6,5,6,5,4,5,5
7824,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7825,5,1,5,1,-5,-5,-5,-5,5,1
7826,-5,-5,-5,-5,5,7,5,8,5,7
7827,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7828,5,3,5,2,5,2,5,2,5,2
7829,5,1,5,1,5,1,5,1,5,1
7830,5,3,5,5,5,3,5,5,5,5
7831,5,3,5,3,5,3,5,3,5,3
7832,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7833,5,3,5,3,5,3,5,3,5,3
7834,5,11,5,10,5,11,5,11,5,11
7835,5,4,5,4,5,4,5,4,5,4
7836,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7837,5,11,5,11,5,11,5,11,5,11
7838,5,4,5,4,5,4,5,4,-5,-5
7839,6,6,6,6,6,6,6,6,6,6
7840,6,1,-5,-5,-5,-5,-5,-5,-5,-5
7841,5,1,5,0,5,0,5,1,5,0
7842,4,-4,-2,11,4,11,-5,-5,-5,-5
7843,5,7,5,7,5,7,5,7,5,7
7844,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7845,6,1,6,1,6,1,6,2,6,1
7846,5,4,5,5,5,6,5,6,5,6
7847,-5,-5,-5,-5,-5,-5,5,11,5,11
7848,5,10,5,11,-5,-5,-5,-5,5,11
7849,5,2,5,2,5,2,5,1,5,3
7850,5,3,5,3,5,3,5,3,5,3
7851,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7852,5,9,5,8,5,8,5,8,-5,-5
7853,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7854,5,7,5,7,-5,-5,5,6,-5,-5
7855,5,6,5,5,5,6,5,7,5,5
7856,5,2,5,2,5,2,5,2,-5,-5
7857,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7858,5,9,5,6,5,11,5,8,5,10
7859,6,8,5,11,6,0,5,11,5,11
7860,5,10,5,10,5,10,5,10,5,10
7861,6,3,6,3,6,2,6,2,6,3
7862,5,9,-5,-5,-5,-5,-5,-5,-5,-5
7863,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7864,5,0,5,0,5,0,5,0,5,0
7865,5,4,5,6,-2,-2,5,0,4,11
7866,5,8,5,8,-5,-5,-5,-5,-5,-5
7867,5,9,5,9,5,9,5,9,5,9
7868,5,9,5,9,5,9,5,9,5,9
7869,5,4,5,4,5,4,5,4,5,4
7870,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7871,6,4,6,4,6,4,6,4,6,4
7872,5,8,5,8,5,8,5,7,5,7
7873,5,4,5,4,5,4,5,4,5,4
7874,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7875,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7876,5,9,5,9,5,9,-4,-4,-5,-5
7877,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7878,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7879,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7880,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7881,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7882,5,6,5,6,5,6,5,6,5,6
7883,5,1,5,1,5,1,5,1,5,1
7884,5,6,5,6,5,6,5,6,5,6
7885,5,2,5,2,5,2,5,2,5,2
7886,5,4,5,4,-5,-5,-5,-5,-5,-5
7887,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7888,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7889,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7890,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7891,5,4,5,4,5,4,5,4,5,4
7892,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7893,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7894,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7895,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7896,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7897,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7898,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7899,5,11,5,11,5,11,5,11,5,11
7900,5,5,5,5,5,5,5,5,5,5
7901,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7902,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7903,5,7,5,11,5,7,5,7,5,7
7904,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7905,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7906,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7907,5,9,5,9,5,9,5,9,5,9
7908,6,6,6,5,6,5,6,5,6,5
7909,6,2,6,2,6,1,6,1,6,1
7910,5,10,5,10,5,10,5,10,5,9
7911,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7912,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7913,5,8,5,8,5,8,5,8,5,8
7914,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7915,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7916,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7917,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7918,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7919,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7920,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7921,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7922,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7923,6,0,6,0,6,0,6,0,6,0
7924,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7925,5,7,5,7,5,8,5,8,5,8
7926,5,3,5,4,5,5,5,3,-5,-5
7927,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7928,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7929,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7930,5,2,5,2,5,2,5,2,5,2
7931,5,2,-5,-5,-5,-5,-5,-5,-5,-5
7932,5,8,-5,-5,5,8,-5,-5,-5,-5
7933,-5,-5,5,3,5,3,5,3,5,2
7934,6,0,6,0,6,0,5,11,5,11
7935,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7936,5,9,5,9,5,9,5,9,5,9
7937,6,2,6,3,6,3,6,2,6,2
7938,5,2,5,2,5,2,5,2,5,1
7939,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7940,5,11,5,10,5,10,5,10,5,10
7941,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7942,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7943,4,11,4,11,4,11,4,11,4,11
7944,5,8,5,8,5,8,5,8,5,8
7945,4,11,4,11,4,11,4,11,4,11
7946,5,9,5,8,5,8,5,0,5,8
7947,5,9,-5,-5,-5,-5,-5,-5,-5,-5
7948,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7949,5,7,5,7,5,7,5,8,5,7
7950,5,10,5,10,5,10,5,10,5,11
7951,5,1,5,1,5,1,5,1,5,1
7952,5,6,5,6,5,6,5,6,5,6
7953,5,9,5,9,5,9,5,9,5,9
7954,5,5,5,6,5,5,5,5,5,5
7955,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7956,5,4,5,4,5,4,5,4,5,4
7957,5,9,5,9,5,8,5,9,5,8
7958,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7959,5,0,5,7,5,8,5,6,5,4
7960,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7961,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7962,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7963,-5,-5,5,9,-5,-5,-5,-5,-5,-5
7964,5,5,5,5,5,5,5,5,5,5
7965,5,8,5,8,5,8,5,7,5,7
7966,5,10,5,10,-5,-5,-5,-5,5,10
7967,5,0,5,0,5,0,5,0,5,0
7968,5,5,5,6,5,5,5,5,5,5
7969,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7970,5,6,5,6,5,6,5,6,5,6
7971,5,5,5,5,5,5,5,5,5,5
7972,5,7,5,7,5,9,5,7,5,7
7973,5,6,5,5,5,5,5,5,5,5
7974,5,3,5,3,5,3,5,3,5,3
7975,-5,-5,5,5,5,5,5,5,5,5
7976,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7977,5,8,5,8,5,7,5,8,5,8
7978,5,11,5,11,5,11,5,11,5,11
7979,5,6,5,6,-4,-4,5,5,5,5
7980,5,5,5,5,5,5,5,5,5,5
7981,5,8,5,7,5,8,5,7,5,8
7982,6,1,6,1,-5,-5,6,0,-5,-5
7983,5,2,5,2,5,2,5,2,5,2
7984,5,7,5,7,5,7,5,7,5,8
7985,4,11,4,11,4,11,5,0,4,11
7986,5,4,5,4,5,4,5,4,5,4
7987,5,7,5,7,5,7,5,7,-5,-5
7988,5,2,5,1,5,1,5,0,5,2
7989,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7990,-5,-5,5,3,5,3,5,2,5,2
7991,5,8,5,8,5,8,5,8,5,8
7992,5,10,5,10,5,11,5,11,5,10
7993,5,9,5,9,5,8,5,8,5,8
7994,-5,-5,5,1,-5,-5,-5,-5,-5,-5
7995,5,11,5,10,5,10,5,10,5,10
7996,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7997,5,6,5,5,5,5,5,5,5,5
7998,5,0,5,0,4,11,5,0,5,0
7999,5,6,-5,-5,5,5,5,5,5,6
8000,5,8,5,8,5,9,5,8,5,9
8001,5,2,5,3,5,3,5,2,5,2
8002,5,8,5,8,5,8,5,8,5,8
8003,5,1,5,1,5,1,5,1,5,1
8004,5,10,5,10,5,10,5,10,-5,-5
8005,5,9,5,9,5,10,5,10,5,10
8006,5,5,5,5,5,5,5,6,5,5
8007,5,8,5,8,5,8,-5,-5,-5,-5
8008,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
8009,5,10,5,10,5,10,5,10,5,11
8010,5,7,5,7,5,7,5,7,5,7
8011,5,11,5,11,5,11,5,11,5,11
8012,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
8013,5,2,5,2,5,2,5,2,5,2
8014,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
8015,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
8016,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
8017,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
8018,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
8019,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
8020,-5,-5,-5,-5,5,5,5,5,5,5
8021,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
8022,5,9,5,10,5,9,5,9,5,9
8023,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
8024,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
8025,5,9,5,9,5,9,5,9,5,9
8026,5,8,-5,-5,5,8,5,9,5,8
8027,6,1,6,3,6,2,6,1,6,1
8028,5,7,5,6,5,6,5,6,5,6
8029,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
8030,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
8031,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
8032,5,10,5,10,5,10,5,10,5,10
8033,5,3,5,5,5,5,5,4,5,5
8034,5,4,5,4,5,4,5,4,5,4
8035,5,8,5,8,5,8,5,8,5,8
8036,5,7,5,7,5,7,5,7,5,7
8037,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
8038,6,0,6,0,6,0,5,11,5,11
8039,5,5,5,4,-5,-5,-5,-5,5,6
8040,5,8,5,8,5,8,5,8,-5,-5
8041,-5,-5,5,11,5,11,5,11,-5,-5
8042,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
8043,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
8044,5,1,5,1,5,0,5,1,5,0
8045,-5,-5,-5,-5,-5,-5,-5,-5,5,4
8046,5,7,5,7,5,7,5,7,5,7
8047,5,4,5,4,5,3,5,3,5,3
8048,5,1,5,1,5,1,5,1,5,0
8049,-5,-5,5,11,5,11,5,11,5,11
8050,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
8051,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
8052,5,10,5,10,-5,-5,-5,-5,-5,-5
8053,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
8054,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
8055,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
8056,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
8057,5,4,5,4,5,5,5,4,5,5
8058,6,3,6,3,6,0,6,3,6,3
8059,4,9,5,3,5,2,5,2,4,5
8060,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
8061,5,2,5,2,5,2,5,2,5,2
8062,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
8063,5,7,5,7,5,5,5,7,5,7
8064,5,9,-5,-5,-5,-5,5,8,5,8
8065,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
8066,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
8067,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
8068,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
8069,5,11,5,11,5,10,5,11,5,11
8070,-5,-5,-5,-5,5,5,-5,-5,-5,-5
8071,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
8072,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
8073,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
8074,5,8,5,8,-5,-5,5,8,5,8
8075,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
8076,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
8077,5,7,5,7,-5,-5,5,8,5,7
8078,-5,-5,5,3,5,3,5,3,5,3
8079,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
8080,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
8081,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
8082,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
8083,5,5,5,4,5,4,5,4,5,3
8084,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
